ApplNo	DrugName	
000004	PAREDRINE	
000159	SULFAPYRIDINE	
000552	LIQUAEMIN SODIUM	
000552	LIQUAEMIN SODIUM	
000552	LIQUAEMIN SODIUM	
000552	LIQUAEMIN SODIUM	
000552	LIQUAEMIN SODIUM	
000552	LIQUAEMIN LOCK FLUSH	
000552	HEPARIN SODIUM	
000552	HEPARIN SODIUM	
000552	HEPARIN SODIUM	
000552	LIQUAEMIN SODIUM PRESERVATIVE FREE	
000552	LIQUAEMIN SODIUM PRESERVATIVE FREE	
000552	LIQUAEMIN SODIUM PRESERVATIVE FREE	
000734	HISTAMINE PHOSPHATE	
000734	HISTAMINE PHOSPHATE	
000734	HISTAMINE PHOSPHATE	
000793	BUTISOL SODIUM	
000793	BUTISOL SODIUM	
000793	BUTISOL SODIUM	
000793	BUTISOL SODIUM	
001104	DOCA	
001546	GUANIDINE HYDROCHLORIDE	
002139	MENADIONE	
002245	PROLOID	
002245	PROLOID	
002245	PROLOID	
002245	PROLOID	
002245	PROLOID	
002245	PROLOID	
002245	PROLOID	
002282	INULIN AND SODIUM CHLORIDE	
002386	AMINOPHYLLIN	
002386	AMINOPHYLLIN	
002918	BENSULFOID	
003158	ORETON METHYL	
003158	ORETON METHYL	
003240	METANDREN	
003240	METANDREN	
003240	METANDREN	
003240	METANDREN	
003402	PITRESSIN TANNATE	
003444	DRISDOL	
003718	SYNKAYVITE	
003718	SYNKAYVITE	
003718	SYNKAYVITE	
003718	SYNKAYVITE	
003977	THEELIN	
003977	THEELIN	
003977	THEELIN	
004039	DIETHYLSTILBESTROL	
004039	DIETHYLSTILBESTROL	
004039	DIETHYLSTILBESTROL	
004039	DIETHYLSTILBESTROL	
004039	DIETHYLSTILBESTROL	
004040	DIETHYLSTILBESTROL	
004040	DIETHYLSTILBESTROL	
004041	DIETHYLSTILBESTROL	
004041	DIETHYLSTILBESTROL	
004041	DIETHYLSTILBESTROL	
004041	DIETHYLSTILBESTROL	
004054	SULFADIAZINE	
004054	SULFADIAZINE SODIUM	
004056	STILBESTROL	
004056	STILBESTROL	
004056	STILBESTROL	
004056	STILBESTROL	
004056	STILBESTROL	
004056	STILBESTROL	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004056	STILBETIN	
004122	SULFADIAZINE	
004125	SULFADIAZINE	
004570	HEPARIN SODIUM	
004570	HEPARIN SODIUM	
004570	HEPARIN SODIUM	
004589	ALCOHOL 5% AND DEXTROSE 5%	
004589	ALCOHOL 10% AND DEXTROSE 5%	
004782	PREMARIN	
004782	PREMARIN	
004782	PREMARIN	
004782	PREMARIN	
004782	PREMARIN	
004782	PREMARIN	
005010	DEMEROL	
005010	DEMEROL	
005010	DEMEROL	
005010	DEMEROL	
005010	DEMEROL	
005010	DEMEROL	
005010	DEMEROL	
005151	PERCORTEN	
005213	HYCODAN	
005213	HYCODAN	
005264	PANHEPRIN	
005264	PANHEPRIN	
005264	PANHEPRIN	
005264	PANHEPRIN	
005264	PANHEPRIN	
005264	HEPARIN LOCK FLUSH	
005264	HEPARIN SODIUM PRESERVATIVE FREE	
005264	HEPARIN SODIUM PRESERVATIVE FREE	
005292	ESTINYL	
005292	ESTINYL	
005292	ESTINYL	
005319	PANTOPAQUE	
005378	DESOXYN	
005378	DESOXYN	
005378	DESOXYN	
005378	DESOXYN	
005490	LYNORAL	
005490	LYNORAL	
005509	DICUMAROL	
005509	DICUMAROL	
005521	HEPARIN SODIUM	
005521	HEPARIN SODIUM	
005521	HEPARIN SODIUM	
005545	DICUMAROL	
005545	DICUMAROL	
005545	DICUMAROL	
005619	AMINOHIPPURATE SODIUM	
005620	MANNITOL 25%	
005657	TUBOCURARINE CHLORIDE	
005691	VERTAVIS	
005725	KAPPADIONE	
005794	SULTRIN	
005794	SULTRIN	
005795	FURACIN	
005845	BENADRYL	
005845	BENADRYL	
005845	BENADRYL	
005856	TRIDIONE	
005856	TRIDIONE	
005856	TRIDIONE	
005897	FOLVITE	
005897	FOLVITE	
005914	PBZ	
005914	PBZ	
005929	D.H.E. 45	
005932	AMINOSOL 5%	
005939	BAL	
005963	SODIUM SULAMYD	
005963	SODIUM SULAMYD	
005963	SODIUM SULAMYD	
005970	SOTRADECOL	
005970	SOTRADECOL	
006002	ARALEN	
006002	ARALEN HYDROCHLORIDE	
006008	MESANTOIN	
006012	FOLVRON	
006035	METHERGINE	
006035	METHERGINE	
006044	DIASONE SODIUM	
006071	BEROCCA PN	
006095	TUBOCURARINE CHLORIDE	
006110	DIENESTROL	
006134	DOLOPHINE HYDROCHLORIDE	
006134	DOLOPHINE HYDROCHLORIDE	
006134	DOLOPHINE HYDROCHLORIDE	
006135	FOLIC ACID	
006146	BENADRYL	
006146	BENADRYL	
006170	HYPROTIGEN 5%	
006188	PROPYLTHIOURACIL	
006203	HEAVY SOLUTION NUPERCAINE	
006213	PROPYLTHIOURACIL	
006270	GAMOPHEN	
006309	KWELL	
006309	KWELL	
006317	SULFONAMIDES DUPLEX	
006317	NEOTRIZINE	
006317	NEOTRIZINE	
006325	TUBOCURARINE CHLORIDE	
006327	ISUPREL	
006327	ISUPREL	
006328	ISUPREL	
006328	ISUPREL	
006333	SYNOPHYLATE	
006343	WYDASE	
006343	WYDASE	
006343	WYDASE	
006383	METHADONE HYDROCHLORIDE	
006383	METHADONE HYDROCHLORIDE	
006383	METHADONE HYDROCHLORIDE	
006403	PRISCOLINE	
006412	DECAPRYN	
006412	DECAPRYN	
006441	CAMOQUIN HYDROCHLORIDE	
006459	HETRAZAN	
006460	PROTAMINE SULFATE	
006470	CALCIUM GLUCEPTATE	
006488	XYLOCAINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006488	XYLOCAINE	
006488	XYLOCAINE	
006488	XYLOCAINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006488	XYLOCAINE W/ EPINEPHRINE	
006514	BENYLIN	
006525	GANTRISIN	
006530	AVC	
006530	AVC	
006536	URECHOLINE	
006536	URECHOLINE	
006536	URECHOLINE	
006536	URECHOLINE	
006536	URECHOLINE	
006580	AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE	
006620	CAFERGOT	
006632	METUBINE IODIDE	
006668	REDISOL	
006695	MUSTARGEN	
006772	VASOXYL	
006772	VASOXYL	
006773	ARTANE	
006773	ARTANE	
006773	ARTANE	
006773	ARTANE	
006798	BERUBIGEN	
006799	RUBRAMIN PC	
006799	RUBRAMIN PC	
006799	RUBRAMIN PC	
006800	PARADIONE	
006800	PARADIONE	
006800	PARADIONE	
006811	PARASAL	
006811	PARASAL	
006811	PARASAL SODIUM	
006811	PARASAL SODIUM	
006823	AQUASOL A	
006882	PHISOHEX	
006904	TERFONYL	
006904	TERFONYL	
006905	NORISODRINE	
006905	NORISODRINE	
006917	GANTRISIN	
006920	TRIPLE SULFAS	
006920	TRIPLE SULFAS	
006921	CHLOR-TRIMETON	
006921	CHLOR-TRIMETON	
006927	EURAX	
006931	SYNCURINE	
007012	VI-TWEL	
007073	AZULFIDINE	
007073	AZULFIDINE EN-TABS	
007085	CYANOCOBALAMIN	
007110	CORTONE	
007110	CORTONE	
007245	AEROLONE	
007320	TEEBACIN	
007335	PRONESTYL	
007335	PRONESTYL	
007335	PRONESTYL	
007335	PRONESTYL	
007335	PRONESTYL	
007336	VERILOID	
007336	VERILOID	
007337	PERCODAN-DEMI	
007337	PERCODAN	
007337	PERCODAN	
007390	BANTHINE	
007392	SECONAL SODIUM	
007409	BENTYL	
007409	BENTYL	
007413	PROTAMINE SULFATE	
007413	PROTAMINE SULFATE	
007504	ACTHAR	
007504	ACTHAR	
007513	LEVOPHED	
007517	TAPAZOLE	
007517	TAPAZOLE	
007529	QUINIDINE GLUCONATE	
007600	SURITAL	
007600	SURITAL	
007600	SURITAL	
007638	CHLOR-TRIMETON	
007638	CHLOR-TRIMETON	
007707	PHENURONE	
007750	CORTONE	
007757	GANTRISIN	
007794	NEOTHYLLINE	
007794	NEOTHYLLINE	
007794	NEOTHYLLINE	
007842	FLAXEDIL	
007842	FLAXEDIL	
007865	POTASSIUM CHLORIDE	
007883	ANTABUSE	
007883	ANTABUSE	
007898	BENEMID	
007935	PHENERGAN	
007935	PHENERGAN	
007935	PHENERGAN	
007936	SELSUN	
007942	SUS-PHRINE SULFITE FREE	
007942	SUS-PHRINE SULFITE FREE	
007953	PREFRIN-A	
007959	TENSILON	
007959	TENSILON PRESERVATIVE FREE	
007961	BENTYL	
007984	AMBODRYL	
008032	TELEPAQUE	
008041	EVANS BLUE	
008048	XYLOCAINE	
008085	METHOTREXATE SODIUM	
008102	TACE	
008107	LEUCOVORIN CALCIUM	
008107	LEUCOVORIN CALCIUM	
008107	LEUCOVORIN CALCIUM	
008107	LEUCOVORIN CALCIUM	
008107	LEUCOVORIN CALCIUM	
008114	PRANTAL	
008126	CORTISONE ACETATE	
008126	CORTISONE ACETATE	
008126	CORTISONE ACETATE	
008126	CORTISONE ACETATE	
008173	BENOQUIN	
008228	HYDROCORTONE	
008228	HYDROCORTONE	
008248	WYAMINE SULFATE	
008248	WYAMINE SULFATE	
008278	REGITINE	
008284	CORTISONE ACETATE	
008284	CORTISONE ACETATE	
008303	APRESOLINE	
008303	APRESOLINE	
008303	APRESOLINE	
008303	APRESOLINE	
008303	APRESOLINE	
008306	PHENERGAN W/ CODEINE	
008306	PHENERGAN VC W/ CODEINE	
008316	PRIMAQUINE	
008317	ACTH	
008317	ACTH	
008319	BUTAZOLIDIN	
008319	BUTAZOLIDIN	
008322	GEMONIL	
008370	BENTYL	
008370	BENTYL PRESERVATIVE FREE	
008372	H.P. ACTHAR GEL	
008372	H.P. ACTHAR GEL	
008378	TPN	
008381	PROMETHAZINE HYDROCHLORIDE PLAIN	
008381	PROMETHAZINE HYDROCHLORIDE PLAIN	
008392	NYDRAZID	
008402	PHISOHEX	
008414	GANTRISIN	
008420	RIMIFON	
008420	RIMIFON	
008420	RIMIFON	
008428	ISONIAZID	
008428	ISONIAZID	
008428	ISONIAZID	
008453	ANECTINE	
008453	ANECTINE	
008453	ANECTINE	
008453	ANECTINE	
008472	CYCLAINE	
008492	ANTRENYL	
008499	ISONIAZID	
008499	ISONIAZID	
008506	HYDROCORTONE	
008506	HYDROCORTONE	
008565	THIOSULFIL	
008565	THIOSULFIL	
008578	DARAPRIM	
008592	RAVOCAINE AND NOVOCAIN W/ LEVOPHED	
008592	RAVOCAINE AND NOVOCAIN W/ NEO-COBEFRIN	
008604	PHENERGAN VC	
008662	NYDRAZID	
008678	ISONIAZID	
008678	ISONIAZID	
008682	THYTROPAR	
008693	FURADANTIN	
008693	FURADANTIN	
008697	CORTEF	
008697	CORTEF	
008697	CORTEF	
008708	DIBENZYLINE	
008719	LEVO-DROMORAN	
008720	LEVO-DROMORAN	
008732	PRO-BANTHINE	
008732	PRO-BANTHINE	
008762	DILANTIN-125	
008762	DILANTIN-30	
008767	HEDULIN	
008794	CHLOR-TRIMETON	
008809	M.V.I.-12 ADULT	
008809	M.V.I.-12 ADULT	
008809	M.V.I.-12 ADULT	
008814	UNITENSEN	
008816	XYLOCAINE	
008822	PERCORTEN	
008826	CHLOR-TRIMETON	
008842	RAUDIXIN	
008842	RAUDIXIN	
008843	PRO-BANTHINE	
008845	QUELICIN PRESERVATIVE FREE	
008845	QUELICIN PRESERVATIVE FREE	
008845	QUELICIN PRESERVATIVE FREE	
008845	QUELICIN	
008847	SUCOSTRIN	
008847	SUCOSTRIN	
008848	PAMINE	
008848	PAMINE FORTE	
008855	MILONTIN	
008857	PHENERGAN	
008857	PHENERGAN	
008867	RAUWILOID	
008869	DICURIN PROCAINE	
008883	OPHTHAINE	
008915	CLISTIN	
008917	CORTEF ACETATE	
008917	CORTEF ACETATE	
008922	CALCIUM DISODIUM VERSENATE	
008922	CALCIUM DISODIUM VERSENATE	
008943	DIAMOX	
008943	DIAMOX	
008951	PAGITANE	
008951	PAGITANE	
008955	CLISTIN	
008975	PURIFIED CORTROPHIN GEL	
008975	PURIFIED CORTROPHIN GEL	
008983	ARFONAD	
009000	CAFERGOT	
009008	SALPIX	
009018	HYDROCORTONE	
009048	8-MOP	
009048	OXSORALEN	
009052	REZIPAS	
009053	PURINETHOL	
009078	PARSIDOL	
009078	PARSIDOL	
009078	PARSIDOL	
009087	HYDERGINE	
009087	HYDERGINE	
009088	NEOTHYLLINE	
009102	ANTEPAR	
009102	ANTEPAR	
009108	RAUVAL	
009108	RAUVAL	
009112	EURAX	
009115	SERPASIL	
009115	SERPASIL	
009115	SERPASIL	
009115	SERPASIL	
009127	CORTRIL	
009127	CORTRIL	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009149	THORAZINE	
009164	CORTRIL	
009165	DELATESTRYL	
009165	DELATESTRYL	
009166	HYDROXYSTILBAMIDINE ISETHIONATE	
009170	MYSOLINE	
009170	MYSOLINE	
009175	FURADANTIN	
009176	CORTRIL	
009176	CORTRIL	
009182	GANTRISIN	
009182	GANTRISIN PEDIATRIC	
009182	LIPO GANTRISIN	
009190	LIPIODOL	
009193	COGENTIN	
009193	COGENTIN	
009193	COGENTIN	
009215	RAUTENSIN	
009217	UNITENSEN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009218	COUMADIN	
009238	PROGESTERONE	
009238	PROGESTERONE	
